Criar,País natal,Color de piel,Altura (pulg.),Color de ojos,Longevidad (años),Rasgos de carácter,Problemas de salud comunes
Perro Labrador Retriever,Canadá,"Amarillo, Negro, Chocolate",21-24,Marrón,10-12,"Leal, amigable, inteligente, enérgico, de buen carácter.","Displasia de cadera, obesidad, infecciones de oído."
pastor alemán,Alemania,"Negro, tostado",22-26,Marrón,7-10,"Leal, inteligente, protector, confiado, entrenable.","Displasia de cadera, displasia de codo, pancreatitis."
Buldog,Inglaterra,"Blanco, Rojo",12-16,Marrón,8-10,"Leal, tranquilo, gentil, valiente.","Alergias en la piel, problemas respiratorios, obesidad."
Caniche,Francia,"Blanco, Negro, Marrón, Albaricoque",10-15,"Marrón, Azul",12-15,"Inteligente, activa, cariñosa, hipoalergénica.","Displasia de cadera, epilepsia, cálculos en la vejiga."
Beagle,Inglaterra,"Blanco, tostado, rojo, limón",13-15,Marrón,12-15,"Curioso, amigable, enérgico, de buen carácter.","Infecciones de oído, displasia de cadera, epilepsia."
Chihuahua,México,"Negro, Marrón, Bronceado, Blanco",6-9,"Marrón, Azul",12-20,"Leal, enérgico, confiado, sensible.","Problemas dentales, problemas oculares, problemas respiratorios."
Bóxer,Alemania,"Leonado, atigrado",21-25,Marrón,10-12,"Leal, enérgica, inteligente, juguetona, protectora.","Displasia de cadera, cáncer, enfermedades cardíacas."
perro perdiguero de oro,Escocia,Dorado,21-24,Marrón,10-12,"Inteligente, amigable, amable, leal, de buen carácter.","Displasia de cadera, cáncer, alergias cutáneas."
Doguillo,Porcelana,"Cervatillo, Negro",10-14,Marrón,12-15,"Leal, juguetona, cariñosa, social, encantadora.","Problemas oculares, problemas respiratorios, obesidad."
rottweiler,Alemania,"Negro, tostado",22-27,Marrón,8-10,"Leal, protector, confiado, fuerte.","Displasia de cadera, cáncer, displasia de codo."
husky siberiano,Rusia,"Negro, Blanco",21-24,Azul,12-15,"Independiente, enérgico, inteligente, juguetón, fuerte.","Displasia de cadera, problemas oculares, miopatía hereditaria."
Perro tejonero,Alemania,"Negro, tostado",5-9,"Marrón, Azul",12-15,"Leal, enérgico, juguetón, curioso.","Enfermedad del disco intervertebral, displasia de cadera, diabetes."
shih tzu,Porcelana,"Negro, Blanco, Marrón",9-10,Marrón,10-16,"Cariñoso, juguetón, confiado, de buen carácter.","Problemas dentales, problemas respiratorios, problemas oculares."
Bichón Frisé,Francia,Blanco,9-11,Marrón,12-15,"Juguetona, cariñosa, inteligente, social.","Problemas dentales, problemas oculares, cálculos en la vejiga."
pastor australiano,Australia,"Negro, Rojo",18-23,"Marrón, Azul",12-15,"Inteligente, enérgico, leal, entrenable.","Displasia de cadera, problemas oculares, epilepsia."
perro de afloramiento,Francia,"Negro, tostado",11-15,Marrón,10-12,"Cariñoso, paciente, gentil, de buen carácter.","Problemas dentales, infecciones de oído, obesidad."
perro de aguas,Inglaterra,"Negro, Marrón",14-15,Marrón,12-15,"Cariñosa, inteligente, enérgica, bondadosa.","Infecciones de oído, displasia de cadera, problemas oculares."
bulldog francés,Francia,"Blanco, negro, atigrado",11-12,Marrón,10-12,"Cariñosa, juguetona, de buen carácter.","Problemas respiratorios, problemas oculares, displasia de cadera."
pomeranio,Alemania,"Naranja, Sable, Negro",6-7,Marrón,12-16,"Juguetón, enérgico, inteligente, de buen carácter.","Problemas dentales, problemas oculares, obesidad."
perro danés,Alemania,"Negro, Azul, Cervatillo, Arlequín",28-34,Marrón,8-10,"Gentil, leal, inteligente, bondadoso.","Displasia de cadera, cáncer, enfermedades cardíacas."
Mastín,Inglaterra,"albaricoque, cervatillo",30-34,Marrón,8-10,"Leal, gentil, protectora, bondadosa.","Displasia de cadera, enfermedades cardíacas, cáncer."
Terranova,Canadá,"Negro, Marrón, Gris",26-28,Marrón,9-11,"Leal, inteligente, gentil, bondadoso.","Displasia de cadera, enfermedades cardíacas, cáncer."
perro de San Bernardo,Suiza,"rojo, blanco",26-30,Marrón,8-10,"Leal, inteligente, gentil, protectora.","Displasia de cadera, cáncer, enfermedades cardíacas."
Viejo perro pastor inglés,Inglaterra,"Azul, Gris",22-26,Marrón,10-12,"Gentil, inteligente, bondadoso, protector.","Displasia de cadera, problemas oculares, alergias cutáneas."
Perro lobo irlandés,Irlanda,"Gris, Rojo, Negro",30-35,Marrón,6-8,"Gentil, leal, inteligente, bondadoso.","Displasia de cadera, enfermedades cardíacas, cáncer."
Galgo,Inglaterra,"Negro, blanco, atigrado",26-30,Marrón,10-12,"Inteligente, atlético, sensible, bondadoso.","Displasia de cadera, problemas oculares, afecciones cardíacas."
Lebrel escocés,Escocia,"Azul, Gris",28-32,Marrón,8-10,"Gentil, inteligente, bondadoso, independiente.","Displasia de cadera, enfermedades cardíacas, cáncer."
Grandes Pirineos,Francia,Blanco,25-32,Marrón,10-12,"Leal, inteligente, gentil, protectora.","Displasia de cadera, cáncer, alergias cutáneas."
IE aguda,Porcelana,"crema, cervatillo",18-20,Marrón,8-12,"Independiente, leal, inteligente, de buen carácter.","Alergias en la piel, problemas oculares, displasia de cadera."
Dóberman Pinscher,Alemania,"Negro, Rojo",24-28,Marrón,10-12,"Leal, enérgica, inteligente, protectora.","Displasia de cadera, enfermedades cardíacas, cáncer."
Weimaraner,Alemania,"Plata, Gris",25-29,"Azul, Gris",10-12,"Enérgico, inteligente, bondadoso, leal.","Displasia de cadera, problemas oculares, cáncer."
Malinois belga,Bélgica,"Leonado, Caoba",22-26,Marrón,12-14,"Inteligente, enérgico, leal, protector.","Displasia de cadera, problemas oculares, alergias cutáneas."
Ridgeback de Rodesia,rodesia,Trigo claro,25-27,Marrón,10-12,"Inteligente, atlético, leal, bondadoso.","Displasia de cadera, problemas oculares, cáncer."
Setter inglés,Inglaterra,"Negro, Blanco, Hígado",23-27,Marrón,12-15,"Inteligente, enérgico, cariñoso, bondadoso.","Displasia de cadera, problemas oculares, cáncer."
Puntero,Inglaterra,"Negro, Blanco, Hígado",21-27,Marrón,12-15,"Inteligente, enérgico, bondadoso, cariñoso.","Displasia de cadera, problemas oculares, cáncer."
Setter gordon,Escocia,"Negro, tostado",23-27,Marrón,12-15,"Inteligente, enérgico, bondadoso, cariñoso.","Displasia de cadera, problemas oculares, cáncer."
Setter irlandés,Irlanda,Rojo,24-28,Marrón,12-15,"Inteligente, enérgico, bondadoso, cariñoso.","Displasia de cadera, problemas oculares, cáncer."
papillón,Francia,"Blanco, Negro, Sable, Rojo",8-11,Marrón,14-16,"Inteligente, enérgico, cariñoso, bondadoso.","Problemas dentales, problemas oculares, cálculos en la vejiga."
pekinés,Porcelana,"Negro, Blanco, Rojo",6-9,Marrón,12-15,"Independiente, inteligente, cariñosa, bondadosa.","Problemas dentales, problemas respiratorios, problemas oculares."
caniche toy,Francia,"Blanco, Negro, Marrón, Albaricoque",10-11,"Marrón, Azul",12-15,"Inteligente, activa, cariñosa, hipoalergénica.","Displasia de cadera, epilepsia, cálculos en la vejiga."
Caniche miniatura,Francia,"Blanco, Negro, Marrón, Albaricoque",10-15,"Marrón, Azul",12-15,"Inteligente, activa, cariñosa, hipoalergénica.","Displasia de cadera, epilepsia, cálculos en la vejiga."
caniche estándar,Francia,"Blanco, Negro, Marrón, Albaricoque",15-22,"Marrón, Azul",12-15,"Inteligente, activa, cariñosa, hipoalergénica.","Displasia de cadera, epilepsia, cálculos en la vejiga."
Affenpinscher,Alemania,"Negro, Marrón, Rojo",9-11,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
terrier de boston,Estados Unidos,"Negro, Blanco",15-17,Marrón,11-13,"Inteligente, enérgico, cariñoso, bondadoso.","Problemas oculares, problemas respiratorios, alergias cutáneas."
Grifo de Bruselas,Bélgica,"Negro, Rojo",7-10,Marrón,12-15,"Inteligente, enérgico, cariñoso, bondadoso.","Problemas dentales, problemas oculares, problemas respiratorios."
Terrier de mojón,Escocia,"Negro, Trigo, Rojo",10-12,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
crestado chino,Porcelana,"Rosa, Blanco, Negro",11-13,Marrón,13-18,"Inteligente, enérgico, cariñoso, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Schnauzer miniatura,Alemania,"Negro, Sal y Pimienta, Blanco",12-14,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, pancreatitis, diabetes."
Schnauzer estándar,Alemania,"Negro, sal y pimienta",18-20,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, pancreatitis, diabetes."
Terrier blanco de las tierras altas del oeste,Escocia,Blanco,11-12,Marrón,12-16,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, alergias cutáneas, displasia de cadera."
terrier australiano,Australia,"Rojo, negro y fuego",10-11,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, alergias cutáneas, displasia de cadera."
terrier fronterizo,Inglaterra,"Rojo, Trigo, Negro",10-16,Marrón,12-16,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, alergias cutáneas, displasia de cadera."
Algodón tuléar,Madagascar,Blanco,9-11,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, alergias cutáneas, displasia de cadera."
Perro de aguas de juguete inglés,Inglaterra,"Blanco, Blenheim",10-12,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, alergias cutáneas, displasia de cadera."
Perro ganadero australiano de cola achaparrada,Australia,"rojo, negro",17-20,Marrón,12-14,"Inteligente, enérgico, bondadoso, leal.","Problemas dentales, problemas oculares, alergias en la piel."
Doguillo,Porcelana,"negro, cervatillo",10-14,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas respiratorios, problemas oculares."
Perro esquimal americano,Estados Unidos,Blanco,15-19,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, alergias cutáneas, displasia de cadera."
Perro ganadero australiano,Australia,"Azul, Rojo",17-20,Marrón,12-16,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, alergias cutáneas, displasia de cadera."
perro de afloramiento,Francia,"Negro, Blanco, Rojo",11-15,Marrón,10-12,"Gentil, bondadoso, leal, inteligente.","Problemas dentales, problemas oculares, alergias en la piel."
Kelpie australiano,Australia,"rojo, negro",17-20,Marrón,12-14,"Inteligente, enérgico, bondadoso, leal.","Problemas dentales, problemas oculares, alergias en la piel."
Sabueso,Inglaterra,"rojo, negro",22-27,Marrón,10-12,"Leal, inteligente, bondadoso, enérgico.","Problemas dentales, problemas oculares, alergias en la piel."
collie fronterizo,Inglaterra,"Negro, Blanco, Rojo",18-22,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
pastor australiano,Australia,Mirlo azul,20-23,Marrón,12-14,"Inteligente, enérgico, bondadoso, leal.","Problemas dentales, problemas oculares, alergias en la piel."
bulldog americano,Estados Unidos,"Blanco, Rojo",20-28,Marrón,10-12,"Leal, inteligente, bondadoso, enérgico.","Problemas dentales, problemas oculares, alergias en la piel."
pastor australiano,Australia,"Negro, Rojo",18-23,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, alergias cutáneas, displasia de cadera."
Borzoi,Rusia,"Blanco, Crema, Rojo",26-29,Marrón,10-12,"Gentil, bondadoso, leal, inteligente.","Problemas dentales, problemas oculares, alergias en la piel."
toro terrier,Inglaterra,"Blanco, Rojo",20-22,Marrón,10-12,"Leal, inteligente, bondadoso, enérgico.","Problemas dentales, problemas oculares, alergias en la piel."
bastón corso,Italia,"Negro, Rojo",22-28,Marrón,10-12,"Leal, inteligente, bondadoso, enérgico.","Problemas dentales, problemas oculares, alergias en la piel."
Cárdigan Corgi Galés,Gales,"Rojo, Sable, Negro",10-12,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Perro perdiguero de la bahía de Chesapeake,Estados Unidos,"Marrón, Bronceado",21-26,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Saluki,Oriente Medio,"crema, rojo",23-28,Marrón,12-14,"Inteligente, enérgico, bondadoso, leal.","Problemas dentales, problemas oculares, alergias en la piel."
Setter inglés,Inglaterra,"hígado, azul",25-27,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Springer Spaniel Inglés,Inglaterra,"Negro, Blanco, Hígado",20-24,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Perro de aguas de campo,Inglaterra,"Negro, hígado",15-18,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Spitz finlandés,Finlandia,"rojo, dorado",15-20,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Perro perdiguero de pelo liso,Inglaterra,"Negro, hígado",22-25,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
terrier australiano,Australia,Rojo,10-11,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Schnauzer gigante,Alemania,"Negro, sal y pimienta",25-28,Marrón,10-12,"Leal, inteligente, bondadoso, enérgico.","Problemas dentales, problemas oculares, alergias en la piel."
perro perdiguero de oro,Escocia,Oro,21-24,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Setter gordon,Escocia,"Negro, tostado",24-27,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Perro ganadero australiano,Australia,"Azul, Rojo",17-20,Marrón,12-14,"Inteligente, enérgico, bondadoso, leal.","Problemas dentales, problemas oculares, alergias en la piel."
Galgo,Inglaterra,"Blanco, Negro, Rojo",26-30,Marrón,10-12,"Inteligente, enérgico, bondadoso, leal.","Problemas dentales, problemas oculares, alergias en la piel."
Aguilucho,Inglaterra,"Rojo, negro y fuego",18-21,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Setter irlandés,Irlanda,Rojo,26-28,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
terrier irlandés,Irlanda,Rojo,14-16,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Spaniel de agua irlandés,Irlanda,Marrón,21-24,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Perro lobo irlandés,Irlanda,"Gris, Rojo",30-35,Marrón,6-10,"Leal, inteligente, bondadoso, enérgico.","Problemas dentales, problemas oculares, alergias en la piel."
Galgo italiano,Italia,"rojo, negro",13-15,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Jack Russell terrier,Inglaterra,"Blanco, negro y fuego",10-12,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
barbilla japonesa,Japón,"Negro, Rojo",7-11,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Keeshond,Países Bajos,"Negro, Crema",17-19,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
terrier azul kerry,Irlanda,Azul,17-19,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Perro,Hungría,Blanco,25-29,Marrón,10-12,"Leal, inteligente, bondadoso, enérgico.","Problemas dentales, problemas oculares, alergias en la piel."
Lhasa Apso,Tíbet,"Negro, Blanco",10-11,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
maltés,Malta,Blanco,8-10,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Pinscher miniatura,Alemania,"Rojo, Ciervo Rojo",10-12,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Samoyedo,Rusia,Blanco,21-23,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Perro pastor de Shetland,Escocia,"Marta, negro",13-16,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Staffordshire bull terrier,Inglaterra,"Blanco, Negro, Rojo",14-16,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
vizla,Hungría,Rojo,20-24,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Pastor de Anatolia,Pavo,Adular,27-29,Marrón,12-14,"Leal, inteligente, bondadoso, enérgico.","Problemas dentales, problemas oculares, alergias en la piel."
Corgi galés,Gales,"rojo, marta",10-12,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Springer Spaniel Galés,Gales,"hígado, blanco",20-25,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
terrier galés,Gales,"Negro, tostado",10-12,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Terrier blanco de las tierras altas del oeste,Escocia,Blanco,10-12,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Lebrel,Inglaterra,"Blanco, Negro, Rojo",18-22,Marrón,12-15,"Inteligente, enérgico, bondadoso, leal.","Problemas dentales, problemas oculares, alergias en la piel."
Grifo señalador de pelo duro,Bélgica,"Marrón, Blanco",21-24,Marrón,12-14,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Xoloitzcuintli,México,"Negro, Rojo",10-14,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
terrier de yorkshire,Inglaterra,Blue & Tan,7-8,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
akita,Japón,"Rojo, Leonado, Sésamo",24-28,Marrón,10-12,"Leal, inteligente, bondadoso, enérgico.","Problemas dentales, problemas oculares, alergias en la piel."
africanos,África,"marrón, rojo",22-25,Marrón,12-15,"Inteligente, enérgico, bondadoso, leal.","Problemas dentales, problemas oculares, alergias en la piel."
Basenji,Congo,"Rojo, negro y blanco",16-17,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Perro leopardo Catahoula,Estados Unidos,"Merle, negro",20-26,Marrón,12-14,"Inteligente, enérgico, bondadoso, leal.","Problemas dentales, problemas oculares, alergias en la piel."
perro de aguas,Inglaterra,"Negro, Marrón",14-15,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Perro shiba con mini perro,Japón,"rojo, sésamo",13-16,Marrón,12-15,"Inteligente, enérgico, juguetón, bondadoso.","Problemas dentales, problemas oculares, alergias en la piel."
Tervuren belga,Bélgica,Adular,22-26,Marrón,12-14,"Inteligente, enérgico, bondadoso, leal.","Problemas dentales, problemas oculares, alergias en la piel."
Perro faraón,Malta,Rojo,21-25,Marrón,12-14,"Inteligente, enérgico, bondadoso, leal.","Problemas dentales, problemas oculares, alergias en la piel."
